canonical_rule_id,rule_id,dataset_version,model_family,model,step1_mode,source_run_dir,acc,ci_lo,ci_hi,n_contexts,n_items,parse_fail_rate,is_changed_rule,expected_rebuild_outcome,observed_delta_vs_original,observed_outcome_label
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.5527777777777777,0.501128323264124,0.6033127707309583,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.5625,0.5102778206389604,0.6133727515732317,3,360,0.022222222222222223,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.6233333333333334,0.5433333333333333,0.7033333333333333,3,300,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek,deepseek-v4-flash,full,results/deconfound-sweep/step1-full-deepseek-v4-flash-20260614T164416Z,0.5611111111111111,0.48888888888888893,0.6306249999999991,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,deepseek,deepseek-v4-flash,rule_given,results/deconfound-sweep/step1-rule_given-deepseek-v4-flash-20260614T165820Z,0.525,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-20260614T165115Z,0.6266666666666666,0.56,0.6900000000000001,3,300,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1,full,results/deconfound-sweep/step1-full-gpt-4.1-20260614T164416Z,0.5694444444444445,0.5111111111111111,0.6305555555555555,3,360,0.0,True,HOLD/moderate with measured short-token residual.,-0.0972222222222221,MODERATE_DROP
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-20260614T165820Z,0.6333333333333333,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,-0.01666666666666672,HOLD
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1,full,results/step1-full-gpt-4.1-20260611T000748Z,0.6666666666666666,0.6083333333333334,0.7222222222222223,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1,rule_given,results/step1-rule_given-gpt-4.1-20260611T002539Z,0.65,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1-mini,confirmation,results/deconfound-sweep/step1-confirmation-gpt-4.1-mini-20260614T165115Z,0.5933333333333334,0.5233333333333333,0.6600833333333321,3,300,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1-mini,full,results/deconfound-sweep/step1-full-gpt-4.1-mini-20260614T164416Z,0.5416666666666666,0.47222222222222215,0.6111111111111112,3,360,0.0,True,HOLD/moderate with measured short-token residual.,-0.019444444444444375,HOLD
all_words_longer_than_3,all_words_longer_than_3_deconfounded,deconfounded,openai,gpt-4.1-mini,rule_given,results/deconfound-sweep/step1-rule_given-gpt-4.1-mini-20260614T165819Z,0.7,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,-0.04166666666666674,HOLD
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1-mini,full,results/step1-full-gpt-4.1-mini-20260611T001640Z,0.561111111111111,0.5111111111111111,0.6138888888888888,3,360,0.0,True,HOLD/moderate with measured short-token residual.,,
all_words_longer_than_3,all_words_longer_than_3,original,openai,gpt-4.1-mini,rule_given,results/step1-rule_given-gpt-4.1-mini-20260611T002808Z,0.7416666666666667,,,1,120,0.0,True,HOLD/moderate with measured short-token residual.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,open_weights,Qwen2.5-7B-Instruct,full,results/deconfound-sweep/qwen-step1-20260614T171204Z,0.6527777777777778,0.6022190573150905,0.7001104253022532,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,anthropic,claude-opus-4-8,full,results/cross_family/claude-deconfounded-step1-20260614T171204Z.jsonl,0.9777777777777777,0.9567691737312188,0.988697571908474,3,360,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
contains_first_name,contains_first_name_deconfounded,deconfounded,deepseek,deepseek-v4-flash,confirmation,results/deconfound-sweep/step1-confirmation-deepseek-v4-flash-20260614T165115Z,0.9433333333333334,0.91,0.9733333333333333,3,300,0.0,True,DROP/moderate expected because proper-token identity was a strong shortcut.,,
